title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Sales Coordinator/Admin & Sales Coordinator,"","Leoch Battery (Thailand) Co., Ltd.",Bangrak,Diploma of High Vocational Education,2 years,Full Time,Retail,Account Servicing,16500
Accounting,"","MARKETHERBALLIZE (THAILAND) CO., LTD.",Ladprao,Diploma of High Vocational Education,2 years,Full Time,Health & Beauty Care,Accounting,20500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Business Development,27500
Purchasing Officer,"",Thewphaingarm and Canadian International School of Thailand,Bangplad,Degree,5 years,"Full Time, Permanent",Education,Procurement,22500
System Engineer,Middle,"Step Solutions Co., Ltd.",Meenburi,Degree,N/A,"Full Time, Permanent",Electronic,Wireless,30000
Sales Representative,"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,CS & Business Devpt,27500
HR Manager,"","Advance Clean Power Co., Ltd.",Klongsan,Degree,N/A,Full Time,Power,Recruitment,67500
Technical Sales Representative/ผู้แทนขายวัตถุดิบเครื่องสำอาง,Entry Level,"BESTRA CO., LTD.",Bangkok Area - Samutsakorn,Degree,1 year,Permanent,Paper,CS & Business Devpt,30000
Customer Service Representative (Native Thai),Senior,Teledirect Telecommerce Sdn Bhd,Overseas,Degree,3 years,Contract,Public Relations,Tele-sales (Telemarketing),27500
DI/Waste Water Treatment Senior Supervisor,"",KCE TECHNOLOGY COMPANY LIMITED,Ayutthaya,Degree,N/A,"Full Time, Permanent",Electrical Equipment,Safety,35000
HR Supervisor/หัวหน้าแผนกบุคคล&ธุรการ,Middle,"GEMS PAVILION CREATION CO., LTD.",Bangrak,Degree,5 years,Full Time,Watches,Admin & HR,30000
พนักงาน Programmer,Entry Level,"SUMIPOL CORPORATION CO., LTD.",Pravet,Degree,3 years,Permanent,Automation Equipment,Software Development,30000
Procurement & Sourcing Engineer Assistant Manager (5 yrs+ in Machine,Middle,"Smartcruit Consultant Co., Ltd.",Bangkok Area - Samutsakorn,Degree,5 years,"Full Time, Permanent",Manufacturing,Merchandising & Purchasing,50000
Business Development Manager,"","Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,5 years,"Full Time, Permanent",Construction,Building & Construction,72500
Senior .Net Programmer (Urgently required),"","The Prodigy (Thailand) Co., Ltd.",Bangkok,Degree,5 years,"Contract, Full Time, Permanent",Information Technology,Information Technology (IT),57500
Team Real Estate Manager wanted,"","Siam MT Co., Ltd.",Klongtoey,Degree,5 years,"Full Time, Permanent",Property Management,Property,57500
Teacher Assistant/ครูผู้ช่วย,"","British Early Years Centre Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Education,Education,22500
F & B Event Coordinator,Entry Level,HOOTERS ASIA,Bangkok,(N/A),N/A,"Full Time, Permanent",Catering,Hospitality,21500
Sales Executive,"","Green Life Printing House Co., Ltd.",Bangkhuntien,Degree,Not Specified,"Full Time, Permanent",Publishing,Account Servicing,42500
Customer Service/ Sales Coordinator (1 yr+ exp/ TOEIC 600+ is preferred/ Attractive Benefits),Entry Level,"Smartcruit Consultant Co., Ltd.",Bangrak,Degree,1 year,"Full Time, Permanent",Trading and Distribution,Operation,22500
Accounts & Admin Executive,"","DB&B (Thailand) Co., Ltd.",Pathumwan,Degree,3 years,Full Time,Interior Design,Taxation,30000
Forwarding Operator,"","BANDAI LOGIPAL(THAILAND)Co.,Ltd.",Klongtoey,Degree,N/A,Full Time,Freight Forwarding,Others,27500
GA & HR Officer !!Manufacturing!!! Urgent!!!,"","Staffers Recruitment Consultants Co., Ltd.",Pathumwan,Not Specified,Not Specified,Full Time,Consultancy,Operation,22500
Billing Supervisor (Ayutthaya Branch),"","FIFTH CONSULTING CO., LTD.",Ayutthaya,Degree,4 years,"Full Time, Permanent",Consultancy,Taxation,27500
Purchase and Material Control Officer (Based in Chonburi),Entry Level,Advanex (Thailand) Ltd.,Chonburi,Degree,N/A,"Full Time, Permanent",Manufacturing,Procurement,30000
Guest Service Agent,"","SHANA CAPITAL CO., LTD.",Surat Thani,(N/A),N/A,"Full Time, Permanent",Hospitality,Others,11500
Sales Executive (IT Solutions)/พนักงานขาย ด้านระบบ IT,Middle,"AskMe Solutions & Consultants Co., Ltd./อาซ์คมี โซลูชั่น แอน์ คอนซัลแทนท์ จำกัด",Bangkok,Diploma of High Vocational Education,2 years,"Contract, Freelance, Full Time, Permanent",Information Technology,Sales,32500
Vendor Relations Manager (BTS Phrom Phong),"",The Lorry Online Sdn Bhd,Wattana,Degree,3 years,Full Time,Delivery,Transportation & Logistics,37500
Web Developer / ERP Programmer (Full Stack),"","Ecosoft Co., Ltd.",Bangrak,Degree,N/A,"Full Time, Permanent",Information Technology,Others,25000
Sport Business Developer (Sport Leader) Decathlon Bangna (Retail),Entry Level,Decathlon (Thailand) Company Limited,Bangplee,(N/A),N/A,"Full Time, Permanent",Wholesale,CS & Business Devpt,23000
Customer Operations Executive (BTS Phrom Phong),"",The Lorry Online Sdn Bhd,Wattana,Degree,1 year,Full Time,Shipping,Customer Service,25000
Project & Program Manager,"",Robert Walters Thailand,Bangkok,Degree,7 years,"Full Time, Permanent",Human Resources Management,Manufacturing,80000
HR Specialist (Strategy) / Senior HR,"",Q Hunter Company Limited,Ladprao,Degree,3 years,Permanent,Textile,Recruitment,35000
Accountant / Assistant to Auditor (สำนักงานสาทร)/พนักงานบัญชี / ผู้ช่วยผู้สอบบัญชี,Entry Level,JWS Consulting Company Limited,Sathorn,Degree,1 year,"Contract, Full Time, Permanent",Tax Services,Accounting,23000
Security Consultant (Permanent Staff : 40,"","TT Network Integration (Thailand) Co., Ltd.",Pathumwan,Degree,5 years,"Full Time, Permanent",Information Technology,Sales,45000
Administrative Officer/เจ้าหน้าที่ธุรการ,"","BIOMASS EXCHANGE CO., LTD.",Lopburi,Degree,N/A,"Full Time, Permanent",Energy,Sales,14500
Bancassurance Development Manager (BDM) ภาคใต้/ผู้จัดการแผนกพัฒนาเจ้าหน้าที่ธนาคาร,Senior,"Skillpower Services (Thailand) Co., Ltd.",Southern,Degree,3 years,"Full Time, Permanent",Insurance,Marketing,72500
Managerial Accounting (3+ yrs in Big Audit Firm/ CPA is +/ Excellent English) Attractive Benefits,Entry Level,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Motor Vehicles,Accounting,50000
IT Sales Executive (2 years+ in Selling Software Products),"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Contract, Full Time, Permanent",Information Technology,Sales,30000
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Business Development,27500
Customer Services,"","S.M.Chemical Supplies Co., Ltd.",Ladprao,Degree,2 years,"Full Time, Permanent",Chemical,Others,20500
Manager,"","J Biz Recruitment Co.,Ltd.",Bangkok,Degree,3 years,Full Time,Human Resources Management,Marketing,67500
Key Account Management ( Sale Executive ) Urgently Required!!,"","Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,1 year,"Full Time, Permanent",Printing,Tele-sales (Telemarketing),35000
Accountant,Not Specified,"Manpower Professional & Executive Recruitment Co, Ltd.",Bangkok,Not Specified,Not Specified,Full Time,Human Resources Management,Accounting,72500
Sales Coordinator (Fresh graduates are welcome),"","President Automobile Industries Co ., Ltd./บริษัท เพรสซิเด้นท์ ออโตโมบิล อินดัสทรีส์ จำกัด",Bangkok Area - Samutsakorn,Degree,N/A,"Full Time, Permanent",Manufacturing,CS & Business Devpt,20500
R&D Engineer (ปฏิบัติงานที่นิคมอุตสาหกรรมปิ่นทอง 2 ศรีราชา ชลบุรี),Entry Level,"Thai Fuji Plastic Co., Ltd.",Chonburi,Not Specified,2 years,Full Time,Chemical,Research & Development (R&D),25500
Account Executive,"",Lockton Overseas Ltd (Rep Office),Bangkok,Degree,3 years,Full Time,Pension Funding,CS & Business Devpt,27500
Driver / พนักงานขับรถขนส่ง (สาขาลำพูน),"",CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Wholesale,Others,14500
PCT Technician (Support),"","NAPASORN SERVICE GROUP CO., LTD.",Huaykwang,Degree,> 20,Contract,Human Resources Management,Civil,25500
Digital Marketing Executive/ผู้บริหารการตลาดดิจิตอล,Entry Level,"GLOBAL HEALTHCARE INNOVATION CO., LTD.",Talingchan,Degree,2 years,Permanent,Health & Beauty Care,Event Marketing,22500
Business Development Manager,Senior,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,5 years,"Full Time, Permanent",Architecture,Construction,72500
Brand Ambassador ( Event Channel ),Entry Level,"Ultimate International Marketing Co.,Ltd.",Bangkok,Degree,N/A,"Contract, Full Time",Advertising,Marketing General,25000
Sales (Program Consultant),"","Language Express Co., Ltd.",Pathumwan,Degree,2 years,"Full Time, Permanent",Education,CS & Business Devpt,40000
Country Sales Manager (Pharmaceutical) – Bangkok – International Company – Up To 90,"",RSM Recruitment (Thailand) Limited,Bangkok,Degree,5 years,Full Time,Pharmaceutical,CS & Business Devpt,72500
Customer Services Officer/พนักงานดูแลลูกค้า,"",Dental Corporation Public Company Limited,Phuket,Degree,Not Specified,Full Time,Medical,Others,19000
Sales & Event Marketing Representative,Entry Level,Cosmo Corporation Group,Rajthevee,Diploma of High Vocational Education,N/A,"Freelance, Full Time, Part Time",Advertising,Management,25000
PH ACE Specialist (Pizza Hut Thailand),"",Thoresen Thai Agencies Public Company Limited,Pathumwan,Not Specified,Not Specified,"Full Time, Permanent",Freight Forwarding,Others,32500
Import & Export/ Customer Service (Exp in BOI,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Electronic,Customer Service,25000
Copywriter (BTS Phrom Phong),"",The Lorry Online Sdn Bhd,Wattana,Not Specified,Not Specified,"Full Time, Permanent",Delivery,Public Relations,20500
Technical Recruiter / Recruitment Consultant (Great for HR/Career Development/Tech Enthusiast),"","CareerBolt (Thailand) Co., Ltd.",Bangkae,Degree,1 year,Full Time,Human Resources Management,Executive Search,20500
Assistant Accounting Manager (Japanese New plant set up) at Rayong,"","Skillpower Services (Thailand) Co., Ltd.",Rayong,Degree,5 years,"Full Time, Permanent",Plastic,Accounting,50000
Senior Full,Senior,"Happio Co., Ltd.",Bangrak,Degree,N/A,Full Time,Information Technology,Others,72500
Sales and Marketing Executive,"",UNICEF Thailand,Bangkok,Degree,20 years,"Contract, Full Time, Permanent",Charity,CS & Business Devpt,25500
SAP Application Support (SD/MM//WM/FI/CO),"","C.J. Express Group Co., Ltd.",Bangrak,Degree,1 year,Full Time,Retail,IT Project Management,45000
Associate Publisher (Pharmacy / Regulatory Affairs / Health Sciences / Medical Sciences),Entry Level,"Skillpower Services (Thailand) Co., Ltd.",Ladkrabang,Degree,2 years,"Full Time, Permanent",Pharmaceutical,Medical Services,37500
Sales Engineer (Exp 3,"","Smartcruit Consultant Co., Ltd.",Southern,Degree,3 years,"Full Time, Permanent",Industrial Machinery,CS & Business Devpt,45000
Sales Manager / Sales Officer / Sales Coordinator / ฝ่ายขาย,"","Star RFID Co., Ltd./สตาร์ อาร์เอฟไอดี",Sathorn,Degree,1 year,Full Time,Manufacturing,Sales,30000
Accountant/บัญชีและการเงิน,"","Giant Point Co., Ltd.",Klongtoey,Degree,N/A,"Full Time, Permanent",Publishing,General Accounting,20500
Regional Event Planner,Entry Level,"Destination Eats Co., Ltd.",Wattana,Degree,3 years,Full Time,Hospitality,F & B,37500
Digital Marketing / Online Marketing,"","Skillpower Services (Thailand) Co., Ltd.",Prakket,Degree,1 year,"Full Time, Permanent",Management Consultancy,Marketing,35000
Financial Officer **Urgent at BTS Saladaeng Zone** /เจ้าหน้าที่การเงิน **รับสมัครด่วน หากพร้อมเริ่มงาน จะได้รับการพิจารณาเป็นพิเศษ**,Entry Level,Savills (Thailand) Limited,Bangrak,Diploma of High Vocational Education,1 year,Full Time,Consultancy,Accounting,20500
Internal Audit Manager/ผู้จัดการฝ่ายตรวจสอบภายใน,Not Specified,"Advance Clean Power Co., Ltd.",Bangrak,Not Specified,Not Specified,Full Time,Power,Accounting,72500
Advertising Account Executives (AE)/ฝ่ายขายสื่อ สิ่งพิมพ์ โฆษณา (AE),Entry Level,Media Transasia Thailand Limited,Wattana,Degree,2 years,"Full Time, Permanent",Publishing,Sales,27500
Graphic Designer/ Interior Designer,Entry Level,"MAHA CONTAINER CO., LTD./บริษัท มหาคอนเทนเนอร์ จำกัด",Bangkok Area - Samutsakorn,(N/A),1 year,Full Time,Interior Design,Design,27500
Customer Service Officer (Amatanakorn IE),"","Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Plastic,Customer Service,32500
Senior Software Developer (Senior Programmer),"","Pakgon Co., Ltd.",Bangrak,Degree,3 years,Full Time,Information Technology,Software Development,37500
Project Manager (Software Development),Not Specified,"Skillpower Services (Thailand) Co., Ltd.",Bangrak,Not Specified,Not Specified,"Full Time, Permanent",Consultancy,Programming,105000
HR Manager/ผู้จัดการแผนกทรัพยากรบุคคล,Senior,Jay Mart Public Company Limted,Sapan-suang,Degree,10 years,Full Time,Wholesale,Recruitment,57500
SALES REPRESENTATIVE for Bangkok area,"","SDA Medical Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Pharmaceutical,Distribution,21500
Assistance Manager,Middle,BASF - Asia Pacific,Klongtoey,Degree,3 years,Full Time,Chemical,Banking,80000
BUSINESS FINANCIAL ANALYST [Sukumvit],Middle,JAC International,Wattana,Degree,3 years,"Full Time, Permanent",Others,Analysis,72500
Treatment Officer & Beauty Clinic Manager /พนักงานทรีทเม้นท์ และผู้จัดการคลินิกความงาม สุพรรณบุรี รายได้ดี,Not Specified,TK Clinic/ธีเคคลินิก,Suphanburi,(N/A),1 year,"Contract, Permanent",Pharmaceutical,Others,21500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Sales,27500
PHP Web Developer,"",WOLFCOM ENTERPRISES,Pathumwan,Degree,2 years,"Full Time, Permanent",Information Technology,Software Development,57500
System Engineer,Not Specified,Asian Technology Solutions Ltd.,Klongtoey,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management,Network & System,50000
Sales Executive / เจ้าหน้าที่บริหารงานขาย,"",Land and Houses Public Company Limited,Bangkok,Degree,N/A,Full Time,Property Development,CS & Business Devpt,20500
